Codigo de Barras;Nome do Produto;Status;Preço Final (consumidor);Qtd.Estoque;Data de vencimento
7898367980010;CERVEJA EISENBAHN 355ML LONG NECK;Desbloqueado;R$ 5,79;0;16/10/2024
7898367984018;CERVEJA EISENBAHN 350ML LATA (TODOS ESTILOS);Desbloqueado;R$ 4,99;0;15/11/2024
78934115;CERVEJA SOL MEXICAN  330ML LONG NECK;Desbloqueado;R$ 6,99;0;25/09/2024
7894900583700;SUCO KAPO MORANGO 200ML;Desbloqueado;R$ 1,29;0;06/07/2024
7894900531008;ÁGUA CRYSTAL C/GÁS 500ML;Desbloqueado;R$ 3,99;0;12/05/2024
7894900550030;SUCO DEL VALLE UVA 1LT PET;Bloqueado para abastecimento;R$ 5,99;0;25/07/2024
78933606;BALA MENTOS FRUIT;Desbloqueado;R$ 3,89;0;21/10/2025
7896262304450;BALA MENTOS MENTA;Desbloqueado;R$ 3,89;0;21/10/2025
7895144859941;CHICLETE PURE FRESH;Desbloqueado;R$ 2,89;0;21/05/2025
7895144899930;CHICLETE PURE FRUIT;Desbloqueado;R$ 2,89;0;17/01/2025
7896045505340;CERVEJA AMSTEL 473ML LATA;Desbloqueado;R$ 4,89;0;17/10/2024
7891149108718;CERVEJA HEINEKEN 330ML LONG NECK;Desbloqueado;R$ 7,99;0;03/09/2024
7896045523412;CERVEJA HEINEKEN 350ML LATA;Desbloqueado;R$ 6,49;14;20/10/2024
7896045504831;CERVEJA AMSTEL 350 ML LATA;Desbloqueado;R$ 4,99;0;18/12/2024
7898921567367;BATATA CONGELADA BEM BRASIL CORTE ESPECIAL 1,05KG;Desbloqueado;R$ 23,99;0;27/12/2025
7894904684359;CHIKENITOS SEARA 300GR TRADICIONAL;Bloqueado para abastecimento;R$ 12,90;0;Não Informado
7894904003495;STEAK DE FRANGO EMPANADO SADIA 100G;Desbloqueado;R$ 2,59;0;01/05/2024
7892840816438;FANDANGOS PRESUNTO 45G;Desbloqueado;R$ 3,99;0;05/04/2024
7894904575800;PENNE AO MOLHO PARISIENSE SEARA 350 GR;Desbloqueado;R$ 9,99;0;23/04/2024
7894904575824;FETTUCINE SEARA 350 G  BOLONHESA;Desbloqueado;R$ 15,99;0;25/04/2024
7894904082704;LASANHA SEARA 600GR (SABORES);Desbloqueado;R$ 19,99;1;20/06/2024
7908228801641;BALA FINI SUPER GIGANTE (SABORES);Desbloqueado;R$ 2,69;0;21/09/2025
7898215151708;LEITE PIRACANJUBA 1LT;Desbloqueado;R$ 6,49;0;25/05/2024
7891167011779;ATUM NAT GOMES DA COSTA 170G;Desbloqueado;R$ 9,59;0;21/09/2024
7896009301049;SARDINHA EM ÓLEO COQUEIRO 125G;Desbloqueado;R$ 6,99;0;21/04/2024
7898591453434;BALA FINI (TODOS SABORES);Desbloqueado;R$ 7,49;2;21/04/2025
7898591457876;BALA FINI TUBES 17G;Desbloqueado;R$ 1,59;0;21/06/2025
7898299990309;PÃO DE QUEIJO MAQUI 1KG;Desbloqueado;R$ 17,99;0;06/09/2024
7891164026967;FAROESTA BURGUER 145G (TODOS SABORES);Bloqueado para abastecimento;R$ 12,99;0;Não Informado
7894904678280;HOT HIT SEARA (TODOS OS SABORES);Bloqueado para abastecimento;R$ 14,49;2;Não Informado
7894900681000;REFRIGERANTE SPRITE 2L;Desbloqueado;R$ 8,99;0;15/04/2024
7894900556032;SUCO DEL VALLE LARANJA 1LT PET;Desbloqueado;R$ 5,89;0;15/06/2024
4005900521910;SABONETE NIVEA LEITE 85G;Desbloqueado;R$ 5,49;0;21/08/2026
7891000100103;LEITE CONDENSADO MOÇA LATA395G;Desbloqueado;R$ 12,90;0;20/08/2024
7891021002127;FILTRO DE CAFÉ BRIGITTA;Desbloqueado;R$ 5,99;0;04/11/2026
7894904215942;CHEDDAR E BACON HOT HIT 145G;Bloqueado para abastecimento;R$ 10,90;0;15/04/2024
7894904678341;X-BACON KET HOT HIT 145G;Desbloqueado;R$ 10,89;0;06/04/2024
7896602901004;PIPOCA MICROONDAS PACHA;Desbloqueado;R$ 3,89;0;12/09/2024
7898624021586;BOMBONZINHO SKIMO MILK MONI SABORES;Desbloqueado;R$ 16,99;0;Não Informado
7898963419983;EXTRUSADO CHOCOTELLA MILK MONI 70G;Desbloqueado;R$ 11,99;0;Não Informado
7898298410259;PICOLÉ SABORES DE FRUTA;Desbloqueado;R$ 2,99;34;Não Informado
7898298410310;PICOLÉ DE SENSAÇÃO/BOMBOM MILK MONI;Desbloqueado;R$ 5,49;42;Não Informado
7898298410808;SORVETE MILK TWIST MILK MONI 1,8L (TODOS OS SABORES);Desbloqueado;R$ 37,99;2;Não Informado
7894904500116;NUGGETS TEKITOS;Desbloqueado;R$ 13,99;0;Não Informado
762210674357;CHOCOLATE LAKA OREO;Desbloqueado;R$ 8,29;0;Não Informado
Não Informado;TORRADA ADRIA 142G;Desbloqueado;R$ 5,59;0;Não Informado
7897395031626;ENERGÉTICO TNT ORIGINAL 473ML;Desbloqueado;R$ 8,99;0;Não Informado
7891000329856;CHOCOLATE SUFLAIR/DUO 80G;Desbloqueado;R$ 10,99;3;Não Informado
7891079000229;MIOJO NISSIN (TODOS SABORES) 80G;Desbloqueado;R$ 3,99;5;Não Informado
7891962051345;PÃO DE FORMA VISCONTTI INTEGRAL;Bloqueado para abastecimento;R$ 5,58;0;Não Informado
78940833;KINDER OVO 20G;Desbloqueado;R$ 7,99;0;Não Informado
7896071024839;BISC. TODDY (TODOS OS SABORES);Desbloqueado;R$ 3,29;0;Não Informado
7898628840404;ÁGUA SERRA NEGRA C/GÁS 500ML;Desbloqueado;R$ 2,19;0;Não Informado
7892840816773;BATATA LAYS CLÁSSICA 80G;Desbloqueado;R$ 10,99;0;Não Informado
7893000632073;PIZZA CONGELADA (TODOS OS SABORES E MARCAS);Desbloqueado;R$ 23,99;4;Não Informado
7898537736881;CAFÉ SOLUVEL MELITTA;Desbloqueado;R$ 6,59;0;Não Informado
7891095031146;BATATA PALHA EXTRA FINA YOKI;Desbloqueado;R$ 7,89;0;Não Informado
7891991001342;GUARANA ANTARCTICA 1,5/2L (COM E SEM AÇUCAR);Desbloqueado;R$ 8,99;0;Não Informado
7892840800000;PEPSI 2L;Bloqueado para abastecimento;R$ 8,99;0;Não Informado
7891000065440;LEITE CONDENSADO MOÇA CAIXA 395G;Desbloqueado;R$ 9,19;0;Não Informado
7891350032741;DESODORANTE BOZZANO;Desbloqueado;R$ 14,99;1;Não Informado
7892840816414;CEBOLITOS 60G;Desbloqueado;R$ 8,99;0;Não Informado
7896105801269;BATATA CONGELADA MCCAIN CLASSICA FININHAS;Desbloqueado;R$ 24,99;0;Não Informado
7896508200034;AÇUCAR REFINADO ALTO ALEGRE;Desbloqueado;R$ 5,99;1;Não Informado
7896022206017;MACARRÃO PARAFUSO TODESCHINI 500G;Desbloqueado;R$ 3,79;0;Não Informado
7896105900344;PALMITO PUPUNHA INTEIRO GOLDEN PALM 330g;Desbloqueado;R$ 14,89;0;Não Informado
7896272004203;AZEITONA VERDES SEM CAROÇO VALE FÉRTIL 240G;Desbloqueado;R$ 6,99;0;Não Informado
7896238105364;QUEIJO RALADO MITILAT;Desbloqueado;R$ 5,79;0;Não Informado
7898079000297;PRESERVATIVO/CAMISINHA PRUDENCE ANATÔMICO;Desbloqueado;R$ 9,99;0;Não Informado
7898298410037;SORVETE MILK MONI 2L (TODOS OS SABORES);Desbloqueado;R$ 39,99;4;Não Informado
7896005272107;MISTURA PARA BOLO DE BAUNILHA DONA BENTA;Desbloqueado;R$ 3,99;0;Não Informado
7896058599206;AMENDOIM CROC CEBOLA/SALSA DORI 70G;Desbloqueado;R$ 2,99;0;Não Informado
7891000336373;CHOCOLATE ALPINO (TODOS SABORES) 85G;Desbloqueado;R$ 10,99;3;Não Informado
7891150049895;CREME DENTAL CLOSE UP TRIPLE MENTA 70G;Desbloqueado;R$ 4,49;0;Não Informado
Não Informado;ESPONJA ASSOLAN;Desbloqueado;R$ 1,69;0;Não Informado
7898918812067;ÁGUA SERRA DA PRATA C/GÁS 500ML;Desbloqueado;R$ 2,29;0;Não Informado
7896283800245;CREME DE LEITE JUSSARA 200G;Desbloqueado;R$ 4,49;0;Não Informado
7896185312396;LEITE INTEGRAL SHEFA 1LT;Desbloqueado;R$ 6,39;0;Não Informado
7894900091007;FANTA SABORES LATA 350ML;Desbloqueado;R$ 4,29;2;Não Informado
7894900500035;ISOTONICO POWERADE SABORES;Desbloqueado;R$ 5,99;0;Não Informado
7898341430098;NECTAR DE UVA DEL VALLE 1LT;Desbloqueado;R$ 7,79;0;Não Informado
7894900550054;SUCO DEL VALLE UVA 450ML;Desbloqueado;R$ 3,49;0;Não Informado
7622210674050;CHOCOLATE DIAMANTE NEGRO 80G;Desbloqueado;R$ 8,29;0;Não Informado
7622210528186;CHOCOLATE LACTA RECHEADOS SONHO DE VALSA;Desbloqueado;R$ 7,99;0;Não Informado
7899970402876;CHOCOLATE HERSHEYS (SABORES);Desbloqueado;R$ 9,99;8;Não Informado
7898080640611;LEITE INTEGRAL ITALAC 1L;Desbloqueado;R$ 6,99;0;Não Informado
7891331010485;BARRA DE CEREAL COM AVELÃ NUTRY;Desbloqueado;R$ 1,49;0;Não Informado
7891991014908;GUARANA ANTARCTICA 200ML;Desbloqueado;R$ 1,29;0;Não Informado
7891021001946;FILTRO DE PAPEL MELITTA;Desbloqueado;R$ 4,99;0;Não Informado
7896235353386;SHAMPOO MONANGE;Desbloqueado;R$ 12,99;1;Não Informado
7898915414844;LEITE AMANHECER INTEGRAL 1L;Desbloqueado;R$ 6,39;0;Não Informado
7894900184235;VODKA & CITRUS;Desbloqueado;R$ 6,99;0;Não Informado
7894900680522;SPRITE LEMON FRESH 1,5L;Desbloqueado;R$ 6,89;0;Não Informado
7891000368626;CHOCOLATE GALAK 80G;Desbloqueado;R$ 9,99;0;Não Informado
7897395020101;CERVEJA ITAIPAVA LATA 350ML;Desbloqueado;R$ 3,99;0;Não Informado
7891000377139;BISC. NEGRESCO;Desbloqueado;R$ 3,99;0;Não Informado
7897115108010;AMENDOIM CROCANTE SALSA E CEBOLA AMENDUPA;Desbloqueado;R$ 2,99;0;Não Informado
7622210562081;BALA BUBBALOO;Desbloqueado;R$ 1,49;0;Não Informado
7896061915109;PAPEL HIGIENICO SUBLIME;Desbloqueado;R$ 7,99;1;Não Informado
7891149104123;CERVEJA SKOL LATÃO;Desbloqueado;R$ 4,99;0;Não Informado
7891000376959;BISC BONO (SABORES);Desbloqueado;R$ 2,99;0;Não Informado
7894900184808;GIN TONICA SCHWEPPES;Desbloqueado;R$ 6,99;1;Não Informado
7896292333000;MOLHO DE TOMATE PREDILECTA;Desbloqueado;R$ 2,19;0;Não Informado
7891962051338;PAO FORMA VISCONTI 400G TRAD;Desbloqueado;R$ 6,80;0;Não Informado
7896004006277;BATATA PRINGLES (TODOS OS SABORES);Desbloqueado;R$ 14,99;6;Não Informado
Não Informado;BATATA RUFFLES SABORES (115 e 110g);Desbloqueado;R$ 15,99;0;Não Informado
7898701301860;QUEIJO RALADO CASA MAE 40G;Desbloqueado;R$ 5,79;0;Não Informado
9891962051574;BOLINHO ROLL BAUDUCCO 34G;Desbloqueado;R$ 2,19;0;Não Informado
7899686702178;BATATA PALHA UNI EXTRA FINA 100G;Desbloqueado;R$ 7,69;0;Não Informado
7898701300085;BATATA PALHA CASA MAE 100G TRADICIONAL/EXTRA FINA;Desbloqueado;R$ 8,99;0;Não Informado
7898591450709;MINI MINHOCAS 16G FINI;Desbloqueado;R$ 1,59;0;Não Informado
7898279799623;MINI TUBES MORANGO CITRICO 16G FINI;Desbloqueado;R$ 1,59;0;Não Informado
7898215152002.;LEITE CONDENSADO PIRACANJUBA CAIXA;Desbloqueado;R$ 7,99;0;Não Informado
7894900911510;REFRIGERANTE KUAT 2L;Desbloqueado;R$ 4,99;0;Não Informado
7891515475703;LASANHA SADIA (TODOS OS SABORES);Desbloqueado;R$ 19,99;0;Não Informado
7891991294942;CERVEJA BRAHMA DUPLO MALTE;Desbloqueado;R$ 3,79;0;Não Informado
7891030300139;QUEIJO PARMESÃO RALADO MOCOCA;Desbloqueado;R$ 3,99;0;Não Informado
7891164110642;EMPANADO TIRINHAS AURORA;Desbloqueado;R$ 10,99;0;Não Informado
7896060401832;LAVA ROUPA EM PÓ URCA;Desbloqueado;R$ 6,99;0;Não Informado
7896089012460;CAFÉ CABOCLO 250G;Desbloqueado;R$ 22,29;0;Não Informado
7896290300295;ARROZ PRATO FINO 1KG;Desbloqueado;R$ 9,99;0;Não Informado
7891515605773;MACARRÃO CONGELADO PENNE À PARISIENSE;Desbloqueado;R$ 8,99;0;Não Informado
7891515606435;MACARRÃO CONGELADO FETTUCCINE COM PERU E BROCOLIS;Desbloqueado;R$ 8,99;0;Não Informado
7898665540770;PÃO DE QUEIJO CONGELADO BIACCINO 400G;Desbloqueado;R$ 8,49;0;Não Informado
7622210567567;CHOCOLATE TABLET OREO LACTA 90G;Desbloqueado;R$ 9,99;1;Não Informado
7892840820640;SALGADINHO LAYS RUSTICA CREAM CHEESE;Desbloqueado;R$ 9,99;0;Não Informado
7894900503029;ISOTONICO POWERADE LARANJA;Desbloqueado;R$ 5,29;0;Não Informado
7892840623467;CHEETOS ONDA REQUEIJAO;Desbloqueado;R$ 14,99;0;Não Informado
7892840820633;BATATA LAYS RUSTICA SAL MARINHO 69G;Desbloqueado;R$ 9,99;0;Não Informado
Não Informado;BANDEJA DE SALGADINHOS (QUALQUER);Desbloqueado;R$ 12,49;0;Não Informado
7898921567336;BATATA CONGELADA BEM BRASIL (TODOS CORTES) 1,05KG;Desbloqueado;R$ 24,90;0;Não Informado
7894900038392;FANTA LARANJA 2,25L;Desbloqueado;R$ 9,19;0;Não Informado
07891000249239;CHOCOLATE KITKAT BRANCO 41,5G;Desbloqueado;R$ 3,49;0;Não Informado
7891000248829;CHOCOLATE KITKAT DARK 41,5G;Desbloqueado;R$ 3,49;0;Não Informado
7898367983356;CERVEJA EISENBAHN LATÃO;Desbloqueado;R$ 5,69;0;Não Informado
07896894900013;AÇUCAR REFINADO;Desbloqueado;R$ 4,99;0;Não Informado
7896102501872;MOLHO DE TOMATE QUERO;Desbloqueado;R$ 2,29;0;Não Informado
